session,title,keys,file_path
IHSC_1872,TPU_405_1_4m_second_RT_75perc,TPU|405|1|4m|second|RT|75perc,E:\sessions\IHSC_1872\TPU_405_1_4m_second\TPU_405_1_4m_second_RT_75perc\WAXS\TPU_405_1_4m_second_RT_75perc_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_second_RT_underf_21_5mm,TPU|405|1|4m|second|RT|underf|21|5mm,E:\sessions\IHSC_1872\TPU_405_1_4m_second\TPU_405_1_4m_second_RT_underf_21_5mm\WAXS\TPU_405_1_4m_second_RT_underf_21_5mm_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_RT_25perc,TPU|405|1|4m|RT|25perc,
IHSC_1872,TPU_405_1_4m_RT_25perc_bis,TPU|405|1|4m|RT|25perc|bis,E:\sessions\IHSC_1872\TPU_405_1_4m\TPU_405_1_4m_RT_25perc_bis\WAXS\TPU_405_1_4m_RT_25perc_bis_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_RT_50perc_bis,TPU|405|1|4m|RT|50perc|bis,E:\sessions\IHSC_1872\TPU_405_1_4m\TPU_405_1_4m_RT_50perc_bis\WAXS\TPU_405_1_4m_RT_50perc_bis_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_RT_75perc_bis,TPU|405|1|4m|RT|75perc|bis,E:\sessions\IHSC_1872\TPU_405_1_4m\TPU_405_1_4m_RT_75perc_bis\WAXS\TPU_405_1_4m_RT_75perc_bis_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_RT_underformed,TPU|405|1|4m|RT|underformed,E:\sessions\IHSC_1872\TPU_405_1_4m\TPU_405_1_4m_RT_underformed\WAXS\TPU_405_1_4m_RT_underformed_WAXS_0000.edf
IHSC_1872,TPU_405_1_4m_RT_underformed_bis,TPU|405|1|4m|RT|underformed|bis,E:\sessions\IHSC_1872\TPU_405_1_4m\TPU_405_1_4m_RT_underformed_bis\WAXS\TPU_405_1_4m_RT_underformed_bis_WAXS_0000.edf
IHSC_1872,Test_test,Test|test,E:\sessions\IHSC_1872\Test\Test_test\WAXS\Test_test_WAXS_0000.edf
IHSC_1872,S_VP_3_1_static,S|VP|3|1|static,E:\sessions\IHSC_1872\S_VP_3_1\S_VP_3_1_static\WAXS\S_VP_3_1_static_WAXS_0000.edf
IHSC_1872,S_VP_1_1_static,S|VP|1|1|static,E:\sessions\IHSC_1872\S_VP_1_1\S_VP_1_1_static\WAXS\S_VP_1_1_static_WAXS_0000.edf
IHSC_1872,S_VP_123_static,S|VP|123|static,E:\sessions\IHSC_1872\S_VP_123\S_VP_123_static\WAXS\S_VP_123_static_WAXS_0000.edf
IHSC_1872,S_VP_static,S|VP|static,E:\sessions\IHSC_1872\S_VP\S_VP_static\WAXS\S_VP_static_WAXS_0000.edf
IHSC_1872,Stretcher_1_4m_AgBe,Stretcher|1|4m|AgBe,E:\sessions\IHSC_1872\Stretcher_1_4m\Stretcher_1_4m_AgBe\WAXS\Stretcher_1_4m_AgBe_WAXS_0000.edf
IHSC_1872,Stretcher_1_4m_Al2O3,Stretcher|1|4m|Al2O3,E:\sessions\IHSC_1872\Stretcher_1_4m\Stretcher_1_4m_Al2O3\WAXS\Stretcher_1_4m_Al2O3_WAXS_0000.edf
IHSC_1872,Red_Hydrogel_Alexey_Capillary_1_5mm,Red|Hydrogel|Alexey|Capillary|1|5mm,E:\sessions\IHSC_1872\Red_Hydrogel_Alexey\Red_Hydrogel_Alexey_Capillary_1_5mm\WAXS\Red_Hydrogel_Alexey_Capillary_1_5mm_WAXS_0000.edf
IHSC_1872,PEG_PLA_200_1_static,PEG|PLA|200|1|static,E:\sessions\IHSC_1872\PEG_PLA_200_1\PEG_PLA_200_1_static\WAXS\PEG_PLA_200_1_static_WAXS_0000.edf
IHSC_1872,PEG_PLA_100_1_ht_1_4,PEG|PLA|100|1|ht|1|4,E:\sessions\IHSC_1872\PEG_PLA_100_1\PEG_PLA_100_1_ht_1_4\WAXS\PEG_PLA_100_1_ht_1_4_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_7perc_CHCl3_stretch_Base_20mm,PDMS|g|P3HT|7perc|CHCl3|stretch|Base|20mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_7perc_CHCl3_stretch\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_20mm\WAXS\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_20mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_7perc_CHCl3_stretch_Base_22mm,PDMS|g|P3HT|7perc|CHCl3|stretch|Base|22mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_7perc_CHCl3_stretch\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_22mm\WAXS\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_22mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_7perc_CHCl3_stretch_Base_24mm,PDMS|g|P3HT|7perc|CHCl3|stretch|Base|24mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_7perc_CHCl3_stretch\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_24mm\WAXS\PDMS_g_P3HT_7perc_CHCl3_stretch_Base_24mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_15mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|bis|Base|15mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_15mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_15mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_22_5mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|bis|Base|22|5mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_22_5mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_22_5mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_24mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|bis|Base|24mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_24mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_24mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_25_5mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|bis|Base|25|5mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_25_5mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_25_5mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_27mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|bis|Base|27mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_27mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_bis_Base_27mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_22mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|22mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_22mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_22mm_WAXS_0000.edf
